Cus.ID,Date,Cus._Location,Age,Gender,Mobile_Name,Sell_Price,Does_he/she_Come_from_Facebook_Page,Does_he/she_Followed_Our_Page,Did_he/she_buy_any_mobile_before,Did_he/she_hear_of_our_shop_before
1,2024-05-27,Rangamati Sadar,49,F,Galaxy A55 5G 8/128,17073.0,0,1,0,1
2,2024-05-27,Inside Rangamati,44,M,Redmi Note 12 Pro 8/128,15546.0,1,0,0,1
3,2024-05-27,Rangamati Sadar,45,M,R-70 Turbo 5G 6/128,26516.0,1,0,0,1
4,2024-05-27,Rangamati Sadar,46,M,R-70 Turbo 5G 6/128,21927.0,0,0,0,1
5,2024-05-27,Outside Rangamati,27,F,Vivo T3x 5G 8/128,16718.0,1,0,0,1
6,2024-05-27,Rangamati Sadar,23,F,Moto G85 5G 8/128,22392.0,0,0,0,1
7,2024-05-27,Outside Rangamati,25,M,iQOO Z7 5G 6/128,20702.0,0,0,0,1
8,2024-05-27,Inside Rangamati,26,F,Moto G85 5G 8/128,16090.0,0,0,0,1
9,2024-05-27,Rangamati Sadar,49,M,Galaxy S24 Ultra 12/256,12819.0,0,1,0,0
10,2024-05-27,Outside Rangamati,45,M,Vivo Y200 5G 6/128,13597.0,1,1,1,0
11,2024-05-27,Inside Rangamati,27,F,iQOO Neo 9 Pro 5G 12/256,40089.0,1,1,0,1
12,2024-05-27,Rangamati Sadar,45,M,Moto G85 5G 8/128,18027.0,0,0,0,0
13,2024-05-27,Outside Rangamati,47,M,iQOO Z7 5G 6/128,20856.0,0,0,0,0
14,2024-05-27,Outside Rangamati,18,F,iQOO Z7 5G 6/128,23106.0,1,0,0,0
15,2024-05-27,Outside Rangamati,47,F,Note 11S 6/128,17603.0,0,0,0,1
16,2024-05-27,Inside Rangamati,19,F,Galaxy M35 5G 8/128,25964.0,0,0,0,1
17,2024-05-27,Rangamati Sadar,45,M,Galaxy A55 5G 8/128,24324.0,0,0,0,1
18,2024-05-27,Outside Rangamati,44,F,Galaxy S24 Ultra 12/256,15611.0,1,0,0,0
19,2024-05-27,Rangamati Sadar,50,F,Vivo T3x 5G 8/128,26273.0,0,0,0,1
20,2024-05-27,Rangamati Sadar,36,M,Pixel 8 Pro 12/256,13441.0,0,0,1,1
21,2024-05-27,Inside Rangamati,41,F,Note 11S 6/128,16181.0,0,0,1,1
22,2024-05-27,Inside Rangamati,29,F,Note 11S 6/128,23246.0,0,0,0,1
